RANKING FOR SDG 13SDG 13	Rank 1	Hilty, Lorenz M	Score: 16.791
SDG 13	Rank 51	Puschmann, Thomas	Score: 2.218
SDG 13	Rank 52	Stammbach, Dominik	Score: 2.209
SDG 13	Rank 53	Naumann, Stefan	Score: 2.209
SDG 13	Rank 54	Guldner, Achim	Score: 2.209
SDG 13	Rank 55	Ziegler, Alexandre	Score: 2.209
SDG 13	Rank 56	Seyff, Norbert	Score: 2.173
SDG 13	Rank 57	Kern, Eva	Score: 2.109
SDG 13	Rank 58	Le Moigne, Mathilde	Score: 2.109
SDG 13	Rank 59	Frey, Bruno S	Score: 2.091
SDG 13	Rank 60	Wagner, Alexander F	Score: 2.091
SDG 13	Rank 61	Khoban, Roza	Score: 2.082
SDG 13	Rank 62	Luechinger, Simon	Score: 2.064
SDG 13	Rank 63	Goeree, Jacob K	Score: 2.009
SDG 13	Rank 64	St�ckli, Sabrina	Score: 2.0
SDG 13	Rank 65	Chitchyan, Ruzanna	Score: 1.991
SDG 13	Rank 66	Betz, Stefanie	Score: 1.964
SDG 13	Rank 67	Starks, Laura T	Score: 1.882
SDG 13	Rank 68	Ferreboeuf, Hugues	Score: 1.882
SDG 13	Rank 69	Schenker-Wicki, Andrea	Score: 1.818
SDG 13	Rank 70	Krueger, Philipp	Score: 1.809
SDG 13	Rank 71	Santarius, Tilman	Score: 1.782
SDG 13	Rank 72	Narita, Daiju	Score: 1.782
SDG 13	Rank 73	Judd, Kenneth L	Score: 1.782
SDG 13	Rank 74	Burtraw, Dallas	Score: 1.782
SDG 13	Rank 75	Lange, Steffen	Score: 1.782
SDG 13	Rank 76	Zeckhauser, Richard	Score: 1.782
SDG 13	Rank 77	Becker, Christoph	Score: 1.764
SDG 13	Rank 78	Scherer, Andreas Georg	Score: 1.668
SDG 13	Rank 79	Krey, Boris	Score: 1.664
SDG 13	Rank 80	Mader, Clemens	Score: 1.646
SDG 13	Rank 81	Huang, Elaine May	Score: 1.591
SDG 13	Rank 82	Alessi, Lucia	Score: 1.582
SDG 13	Rank 83	Schimanski, Tobias	Score: 1.582
SDG 13	Rank 84	Itten, Ren�	Score: 1.582
SDG 13	Rank 85	Hintemann, Ralph	Score: 1.582
SDG 13	Rank 86	Bingler, Julia	Score: 1.582
SDG 13	Rank 87	Blumer, Yann	Score: 1.582
SDG 13	Rank 88	Bahn, Olivier	Score: 1.555
SDG 13	Rank 89	Troja, Bruno	Score: 1.555
SDG 13	Rank 90	Bressan, Giacomo	Score: 1.555
SDG 13	Rank 91	Falkinger, Josef	Score: 1.523
SDG 13	Rank 92	Blanga-Gubbay, Michael	Score: 1.482
SDG 13	Rank 93	Gr�ger, Jens	Score: 1.482
SDG 13	Rank 94	Scherer, Andreas	Score: 1.464
SDG 13	Rank 95	Schmedders, Karl	Score: 1.464
SDG 13	Rank 96	van Ruijven, Bas J	Score: 1.455
SDG 13	Rank 97	Lepot, Simon	Score: 1.455
SDG 13	Rank 98	Salieri, Beatrice	Score: 1.455
SDG 13	Rank 99	Friedl, Aleksandra	Score: 1.455
SDG 13	Rank 100	Folini, Doris	Score: 1.455
