RANKING FOR SDG 13SDG 13	Rank 1	Hilty, Lorenz M	Score: 16.791
SDG 13	Rank 2	Hilty, Lorenz	Score: 16.069
SDG 13	Rank 3	Battiston, Stefano	Score: 11.818
SDG 13	Rank 4	Leippold, Markus	Score: 9.2
SDG 13	Rank 5	Ongena, Steven	Score: 8.055
SDG 13	Rank 6	Chesney, Marc	Score: 7.446
SDG 13	Rank 7	Monasterolo, Irene	Score: 7.273
SDG 13	Rank 8	H�mous, David	Score: 6.473
SDG 13	Rank 9	Ramelli, Stefano	Score: 6.1
SDG 13	Rank 10	Stiller, Burkhard	Score: 5.564
SDG 13	Rank 11	Kubler, Felix	Score: 5.473
SDG 13	Rank 12	Scheidegger, Simon	Score: 5.473
SDG 13	Rank 13	Kraus, Mathias	Score: 5.173
SDG 13	Rank 14	Aghion, Philippe	Score: 5.018
SDG 13	Rank 15	Wagner, Alexander	Score: 4.882
SDG 13	Rank 16	Schmutzler, Armin	Score: 4.559
SDG 13	Rank 17	Scaramuzza, Davide	Score: 4.491
SDG 13	Rank 18	Bieser, Jan	Score: 4.318
SDG 13	Rank 19	Webersinke, Nicolas	Score: 4.318
SDG 13	Rank 20	Bieser, Jan C T	Score: 4.246
SDG 13	Rank 21	Zweifel, Peter	Score: 4.146
SDG 13	Rank 22	Hischier, Roland	Score: 3.991
SDG 13	Rank 23	Lontzek, Thomas S	Score: 3.964
SDG 13	Rank 24	Polbin, Andrey	Score: 3.936
SDG 13	Rank 25	Acemoglu, Daron	Score: 3.918
SDG 13	Rank 26	Bingler, Julia Anna	Score: 3.591
SDG 13	Rank 27	Coroama, Vlad C	Score: 3.518
SDG 13	Rank 28	Sautner, Zacharias	Score: 3.318
SDG 13	Rank 29	Wang, Qian	Score: 3.264
SDG 13	Rank 30	Bornh�ft, Nikolaus A	Score: 3.264
SDG 13	Rank 31	Nowack, Bernd	Score: 3.164
SDG 13	Rank 32	Delis, Manthos D	Score: 3.164
SDG 13	Rank 33	Meins, Erika	Score: 3.137
SDG 13	Rank 34	Kotlikoff, Laurence	Score: 3.109
SDG 13	Rank 35	K�lbel, Julian	Score: 3.018
SDG 13	Rank 36	H�jer, Mattias	Score: 2.964
SDG 13	Rank 37	Gheyssens, Jonathan	Score: 2.909
SDG 13	Rank 38	Aerni, Philipp	Score: 2.846
SDG 13	Rank 39	Penzenstadler, Birgit	Score: 2.718
SDG 13	Rank 40	Barrage, Lint	Score: 2.709
SDG 13	Rank 41	Hummel, Katrin	Score: 2.655
SDG 13	Rank 42	Schiller, Eryk	Score: 2.637
SDG 13	Rank 43	Pohl, Johanna	Score: 2.636
SDG 13	Rank 44	De Greiff, Kathrin	Score: 2.636
SDG 13	Rank 45	Beyene, Winta	Score: 2.609
SDG 13	Rank 46	Fehr, Ernst	Score: 2.418
SDG 13	Rank 47	Zea Escamilla, Edwin	Score: 2.364
SDG 13	Rank 48	Ossola, Elisa	Score: 2.282
SDG 13	Rank 49	Rancan, Michela	Score: 2.282
SDG 13	Rank 50	Lohmann, Wolfgang	Score: 2.236
