RANKING FOR SDG 8SDG 8	Rank 1	Ongena, Steven	Score: 61.27
SDG 8	Rank 76	Scherer, Andreas Georg	Score: 4.891
SDG 8	Rank 77	Foellmi, Reto	Score: 4.755
SDG 8	Rank 78	Hilty, Lorenz	Score: 4.732
SDG 8	Rank 79	Sautner, Zacharias	Score: 4.691
SDG 8	Rank 80	Garcia-Appendini, Emilia	Score: 4.682
SDG 8	Rank 81	Evstigneev, Igor V	Score: 4.637
SDG 8	Rank 82	Egger, P	Score: 4.627
SDG 8	Rank 83	Algesheimer, Ren�	Score: 4.555
SDG 8	Rank 84	Habib, Michel A	Score: 4.537
SDG 8	Rank 85	Franck, Egon	Score: 4.527
SDG 8	Rank 86	De Giorgi, Enrico	Score: 4.509
SDG 8	Rank 87	Crawford, Gregory S	Score: 4.496
SDG 8	Rank 88	Glinz, Martin	Score: 4.478
SDG 8	Rank 89	Mar�chal, Michel Andr�	Score: 4.455
SDG 8	Rank 90	Zeisberger, Stefan	Score: 4.418
SDG 8	Rank 91	Falk, Armin	Score: 4.409
SDG 8	Rank 92	Ziegler, Alexandre	Score: 4.382
SDG 8	Rank 93	Aghion, Philippe	Score: 4.264
SDG 8	Rank 94	Menges, Jochen I	Score: 4.237
SDG 8	Rank 95	Pfaff, Dieter	Score: 4.191
SDG 8	Rank 96	Menges, Jochen	Score: 4.182
SDG 8	Rank 97	Moreno-Bromberg, Santiago	Score: 4.1
SDG 8	Rank 98	Netzer, Nick	Score: 4.087
SDG 8	Rank 99	Gancia, Gino	Score: 4.073
SDG 8	Rank 100	Schmidt, Klaus M	Score: 4.055
