RANKING FOR SDG 12SDG 12	Rank 1	Hilty, Lorenz M	Score: 20.373
SDG 12	Rank 2	Hilty, Lorenz	Score: 16.959
SDG 12	Rank 3	Stiller, Burkhard	Score: 8.991
SDG 12	Rank 4	Schwabe, Gerhard	Score: 7.61
SDG 12	Rank 5	Natter, Martin	Score: 6.909
SDG 12	Rank 6	Ongena, Steven	Score: 5.669
SDG 12	Rank 7	Frey, Bruno S	Score: 5.596
SDG 12	Rank 8	Scaramuzza, Davide	Score: 5.523
SDG 12	Rank 9	Chesney, Marc	Score: 5.368
SDG 12	Rank 10	St�ckli, Sabrina	Score: 5.3
SDG 12	Rank 11	Meins, Erika	Score: 5.037
SDG 12	Rank 12	Battiston, Stefano	Score: 4.909
SDG 12	Rank 13	Bieser, Jan C T	Score: 4.746
SDG 12	Rank 14	Leippold, Markus	Score: 4.45
SDG 12	Rank 15	Schmutzler, Armin	Score: 4.364
SDG 12	Rank 16	Bernstein, Abraham	Score: 4.255
SDG 12	Rank 17	Weber, Roberto A	Score: 3.964
SDG 12	Rank 18	Hischier, Roland	Score: 3.664
SDG 12	Rank 19	Hummel, Katrin	Score: 3.582
SDG 12	Rank 20	Scherer, Andreas Georg	Score: 3.582
SDG 12	Rank 21	H�mous, David	Score: 3.573
SDG 12	Rank 22	Huang, Elaine May	Score: 3.427
SDG 12	Rank 23	Bartling, Bj�rn	Score: 3.355
SDG 12	Rank 24	Coroama, Vlad C	Score: 3.218
SDG 12	Rank 25	Scherer, A G	Score: 3.164
SDG 12	Rank 26	Schenker-Wicki, Andrea	Score: 3.164
SDG 12	Rank 27	Schiller, Eryk	Score: 3.155
SDG 12	Rank 28	Dorn, Michael	Score: 3.009
SDG 12	Rank 29	Fehr, Ernst	Score: 3.0
SDG 12	Rank 30	H�jer, Mattias	Score: 2.964
SDG 12	Rank 31	Zavolokina, Liudmila	Score: 2.946
SDG 12	Rank 32	Seyff, Norbert	Score: 2.937
SDG 12	Rank 33	Remy, Christian	Score: 2.918
SDG 12	Rank 34	Faulstich, Martin	Score: 2.836
SDG 12	Rank 35	Schluep, Mathias	Score: 2.836
SDG 12	Rank 36	Nowack, Bernd	Score: 2.814
